=== libpredict example application ===
Time:                     2024-07-05 15:56:09.851Z
Observer Position:        +51.2365°N, -0.5788°E, +0m
== Celestial Bodies ==
Current Sun Observation:  AZ:  259.248°, EL:   37.810°
          RF refraction:  dEL:   +0.013° (visible)
== Spacecraft ==
Parsing ISS TLE..         OK (Epoch: 2024.181.34)
Calculating ISS orbit..   OK
Current ISS Observation:  AZ:  341.049°, EL:  -42.554°
          RF refraction:  dEL:   +0.000° (not visible)
IM Chip ID: 0xa0 (correct = a0)
OPR Mode: 0x04
Next ISS AoS Azimuth:     176.567° at 2024-07-05 21:44:54.135Z
+0348,-0276,358.5
      Max Elevation:        6.754° at 2024-07-05 21:48:32.255Z
         LoS Azimuth:      86.982° at 2024-07-05 21:52:24.429Z
-0203,-0084,126.7
-0179,-0078,126.7
-0185,-0078,126.7
-0179,-0078,125.1
-0173,-0078,125.1
-0185,-0060,125.1
-0161,-0066,123.6
-0185,-0078,123.6
-0155,-0060,123.6
-0173,-0072,122.0
-0155,-0072,122.0
-0173,-0054,122.0
-0143,-0048,120.8
-0149,-0060,120.6
-0155,-0060,120.6
-0167,-0048,119.6
-0161,-0042,119.0
-0167,-0048,119.1
-0137,-0048,117.9
-0143,-0048,117.5
-0149,-0030,117.5
-0143,-0036,117.4
-0149,-0024,115.9
-0113,-0024,115.9
-0131,-0036,115.8
-0143,-0036,114.5
-0113,-0018,113.8
-0143,-0036,112.9
-0131,-0030,112.9
-0107,-0018,112.2
-0107,-0024,111.3
-0113,-0006,111.3
-0119,+0000,111.3
-0113,+0000,109.9
-0113,-0018,109.9
-0095,-0012,109.9
-0107,-0006,108.4
-0083,+0005,108.4
-0083,-0006,107.7
-0077,+0005,106.8
-0083,-0006,106.8
-0071,+0011,106.1
-0083,-0006,105.4
-0083,+0000,105.2
-0071,-0006,105.4
-0059,+0017,103.8
-0065,+0000,103.8
-0077,+0005,103.8
-0065,+0000,102.2
-0041,+0017,102.2
-0059,+0011,102.3
-0035,+0011,100.7
-0029,+0023,100.7
-0053,+0017,100.1
-0053,+0000,99.1
-0041,+0029,99.1
-0035,+0029,98.3
-0017,+0000,97.7
-0023,+0017,97.7
-0035,+0029,96.9
-0017,+0023,96.1
-0017,+0011,96.1
-0023,+0023,94.6
+0000,+0023,94.6
+0012,+0017,93.8
+0012,+0017,93.0
-0011,+0023,93.0
-0005,+0017,92.1
+0012,+0029,91.6
+0018,+0005,91.6
+0012,+0017,90.9
+0000,+0011,90.0
+0012,+0041,90.0
+0012,+0011,90.0
+0018,+0017,88.5
+0030,+0023,88.5
+0048,+0011,87.6
+0018,+0011,87.0
+0024,+0011,87.0
+0036,+0017,87.0
